#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:39:46,C:\Users\THP\Desktop\35mm Sleeve Database\51\TH_Template_10_2025 --- 51_1.mnt,2.140128859,5.419966433,-2.910835853,33.29924379,3.603500046,73.50048751,27.87927736,8.394965348,95.26419247,51_1,0.1966244533,
2026/06/11,08:39:48,C:\Users\THP\Desktop\35mm Sleeve Database\51\TH_Template_10_2025 --- 51_2.mnt,1.86923057,5.323788136,-0.7055997486,15.66412112,2.357507613,19.71989352,10.34033298,5.514655865,63.26464662,51_2,0.1966349202,
2026/06/11,08:39:51,C:\Users\THP\Desktop\35mm Sleeve Database\51\TH_Template_10_2025 --- 51_3.mnt,1.603234637,5.045377828,-0.8653813226,15.0197912,2.083235071,20.65986989,9.974413373,5.031770988,69.29178602,51_3,0.1966279059,
2026/06/11,08:39:54,C:\Users\THP\Desktop\35mm Sleeve Database\51\TH_Template_10_2025 --- 51_4.mnt,1.378489986,4.157275755,-0.7317581656,11.39567155,1.783679911,14.85113372,7.238395793,4.110255476,60.05142858,51_4,0.196635429,
