#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:37:59,C:\Users\THP\Desktop\35mm Sleeve Database\37\TH_Template_10_2025 --- 37_1.mnt,1.927194173,5.18583567,-0.6935375197,15.90722523,2.439765767,22.15925421,10.72138956,5.990075985,61.5176715,37_1,0.1966636315,
2026/06/11,08:38:02,C:\Users\THP\Desktop\35mm Sleeve Database\37\TH_Template_10_2025 --- 37_2.mnt,2.282496615,5.764594782,-2.04382499,28.17612179,3.298040578,49.07678695,22.41152701,7.967592692,86.86375126,37_2,0.1966614872,
2026/06/11,08:38:04,C:\Users\THP\Desktop\35mm Sleeve Database\37\TH_Template_10_2025 --- 37_3.mnt,1.948730001,4.823164827,-0.7848141832,15.29296836,2.508596587,18.47804707,10.46980354,5.676332556,60.01739627,37_3,0.1966652124,
2026/06/11,08:38:07,C:\Users\THP\Desktop\35mm Sleeve Database\37\TH_Template_10_2025 --- 37_4.mnt,1.72161692,6.919241419,-0.4882883096,15.86213441,2.234407679,26.21669383,8.942892993,5.627514936,65.76814806,37_4,0.1969266875,
