#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:38:10,C:\Users\THP\Desktop\35mm Sleeve Database\38\TH_Template_10_2025 --- 38_1.mnt,1.854712494,5.040448453,-0.6137035215,15.09369435,2.344367322,18.10680692,10.0532459,5.433180382,60.78626556,38_1,0.196660615,
2026/06/11,08:38:12,C:\Users\THP\Desktop\35mm Sleeve Database\38\TH_Template_10_2025 --- 38_2.mnt,2.043740162,5.356686816,-1.170613149,19.29893211,2.704295249,22.04039744,13.94224529,6.265885348,72.10291715,38_2,0.1966619961,
2026/06/11,08:38:15,C:\Users\THP\Desktop\35mm Sleeve Database\38\TH_Template_10_2025 --- 38_3.mnt,2.117794722,5.131038934,-2.296135958,26.66673991,3.115614926,42.20400355,21.53570098,7.67060891,89.93179506,38_3,0.1966684833,
2026/06/11,08:38:17,C:\Users\THP\Desktop\35mm Sleeve Database\38\TH_Template_10_2025 --- 38_4.mnt,1.512355512,4.456572655,-1.269299121,15.73904159,2.000614375,24.01155883,11.28246893,4.845186382,77.53776159,38_4,0.1967167442,
