#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:39:35,C:\Users\THP\Desktop\35mm Sleeve Database\48\TH_Template_10_2025 --- 48_1.mnt,2.210262438,5.635009444,-1.062604252,19.83125887,2.868060321,24.46574387,14.19624943,6.776214562,69.28817925,48_1,0.1967131273,
2026/06/11,08:39:38,C:\Users\THP\Desktop\35mm Sleeve Database\48\TH_Template_10_2025 --- 48_2.mnt,2.403245037,5.890977673,-1.66690539,24.985073,3.344554632,31.95176349,19.09409533,7.402332917,80.73418855,48_2,0.1967185617,
2026/06/11,08:39:41,C:\Users\THP\Desktop\35mm Sleeve Database\48\TH_Template_10_2025 --- 48_3.mnt,2.238474109,5.611015161,-1.725876154,24.55881316,3.078013843,33.66321623,18.947798,7.121522991,82.49033535,48_3,0.1966675202,
2026/06/11,08:39:44,C:\Users\THP\Desktop\35mm Sleeve Database\48\TH_Template_10_2025 --- 48_4.mnt,2.01138126,5.284353102,-0.9233408574,17.25790095,2.611325811,24.45495129,11.97354785,6.091249145,66.7218082,48_4,0.1966636678,
