#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:40:07,C:\Users\THP\Desktop\35mm Sleeve Database\53\TH_Template_10_2025 --- 53_1.mnt,1.839727857,5.108082972,-0.5926038643,14.69323923,2.330393536,18.77909432,9.585156262,5.586175756,58.49603085,53_1,0.1966650126,
2026/06/11,08:40:10,C:\Users\THP\Desktop\35mm Sleeve Database\53\TH_Template_10_2025 --- 53_2.mnt,2.069333264,5.817433633,-0.5914173285,16.81786126,2.609982277,20.45825178,11.00042763,6.11954383,59.65766904,53_2,0.1967562574,
2026/06/11,08:40:12,C:\Users\THP\Desktop\35mm Sleeve Database\53\TH_Template_10_2025 --- 53_3.mnt,2.022964028,5.286027991,-1.493620077,20.049351,2.738324883,24.06644072,14.76332301,6.056414667,78.39446983,53_3,0.1967601105,
2026/06/11,08:40:15,C:\Users\THP\Desktop\35mm Sleeve Database\53\TH_Template_10_2025 --- 53_4.mnt,1.567359344,4.62424142,-0.6960145812,13.10080854,2.000402641,16.04509434,8.476567121,4.574658291,61.25982409,53_4,0.1967466608,
