#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:38:52,C:\Users\THP\Desktop\35mm Sleeve Database\42\TH_Template_10_2025 --- 42_1.mnt,1.439152003,4.076348388,-0.6165824855,11.25956446,1.823895662,13.47479909,7.183216076,4.273352538,56.97096233,42_1,0.196748442,
2026/06/11,08:38:55,C:\Users\THP\Desktop\35mm Sleeve Database\42\TH_Template_10_2025 --- 42_2.mnt,1.763784504,4.477339458,-0.9229599611,14.63260065,2.281966759,19.16942502,10.15526119,5.099939957,60.91825647,42_2,0.1966381366,
2026/06/11,08:38:58,C:\Users\THP\Desktop\35mm Sleeve Database\42\TH_Template_10_2025 --- 42_3.mnt,1.90049677,5.20022781,-0.7784191813,16.31515576,2.432737347,21.53637775,11.11492795,5.874609951,64.66764948,42_3,0.1966417891,
2026/06/11,08:39:01,C:\Users\THP\Desktop\35mm Sleeve Database\42\TH_Template_10_2025 --- 42_4.mnt,1.888625414,5.162349515,-0.8065590992,16.42911638,2.421599722,19.03760612,11.26676687,5.555279766,66.00892677,42_4,0.1966685379,
