#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:38:31,C:\Users\THP\Desktop\35mm Sleeve Database\40\TH_Template_10_2025 --- 40_1.mnt,1.911094854,4.687873099,-0.7972695343,14.76034244,2.421128859,20.78531312,10.07246934,5.773148618,60.60205834,40_1,0.1966614509,
2026/06/11,08:38:34,C:\Users\THP\Desktop\35mm Sleeve Database\40\TH_Template_10_2025 --- 40_2.mnt,2.181313547,5.72190862,-0.8687124225,18.90256518,2.788977285,23.65849191,13.18065656,6.498362629,66.37332056,40_2,0.1966618688,
2026/06/11,08:38:36,C:\Users\THP\Desktop\35mm Sleeve Database\40\TH_Template_10_2025 --- 40_3.mnt,2.289209282,5.698192373,-2.115794205,27.49248872,3.263562041,32.88573985,21.79429635,7.076704524,88.18001355,40_3,0.196662305,
2026/06/11,08:38:39,C:\Users\THP\Desktop\35mm Sleeve Database\40\TH_Template_10_2025 --- 40_4.mnt,1.792159717,4.464472828,-0.9538869927,15.79950615,2.293337035,18.7145825,11.33503333,5.336643131,67.24207347,40_4,0.1966689013,
