#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:35:14,C:\Users\THP\Desktop\35mm Sleeve Database\16\TH_Template_10_2025 --- 16_1.mnt,10.589673,40.19153865,-0.06803804296,79.98027407,13.49081167,95.97171172,39.78873542,31.2154586,48.29089913,16_1,0.1966503116,
2026/06/11,08:35:16,C:\Users\THP\Desktop\35mm Sleeve Database\16\TH_Template_10_2025 --- 16_2.mnt,10.96288224,44.95843194,-0.1681450394,95.28699755,14.21856991,132.6627311,50.32856561,34.71544305,59.88648214,16_2,0.1966647582,
2026/06/11,08:35:18,C:\Users\THP\Desktop\35mm Sleeve Database\16\TH_Template_10_2025 --- 16_3.mnt,11.000385,45.37951584,-0.1117331569,93.62700308,14.40001343,134.7709594,48.24748724,32.33865165,56.08410761,16_3,0.196667066,
2026/06/11,08:35:21,C:\Users\THP\Desktop\35mm Sleeve Database\16\TH_Template_10_2025 --- 16_4.mnt,11.2050099,38.51150575,-0.3155705953,88.75304407,14.31012889,110.0958061,50.24153832,32.71987312,52.43519321,16_4,0.1966687014,
