#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:37:38,C:\Users\THP\Desktop\35mm Sleeve Database\34\TH_Template_10_2025 --- 34_1.mnt,2.153985229,7.555739244,-0.8651679692,20.85313288,2.799004231,32.13617687,13.29739363,6.484026153,74.54681684,34_1,0.1966319401,
2026/06/11,08:37:41,C:\Users\THP\Desktop\35mm Sleeve Database\34\TH_Template_10_2025 --- 34_2.mnt,1.869041672,4.881214502,-1.049887864,17.65253697,2.455260608,31.30704211,12.77132246,6.088912516,71.53212545,34_2,0.1966557268,
2026/06/11,08:37:43,C:\Users\THP\Desktop\35mm Sleeve Database\34\TH_Template_10_2025 --- 34_3.mnt,1.851094993,4.869554045,-1.505161116,18.67495495,2.504341187,33.33258237,13.8054009,6.284269495,77.49990832,34_3,0.1967173439,
2026/06/11,08:37:46,C:\Users\THP\Desktop\35mm Sleeve Database\34\TH_Template_10_2025 --- 34_4.mnt,1.784610203,7.780970801,-0.3098043347,16.49191717,2.310847146,27.05720841,8.71094637,5.737223741,71.10818591,34_4,0.1967217787,
