#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:36:46,C:\Users\THP\Desktop\35mm Sleeve Database\28\TH_Template_10_2025 --- 28_1.mnt,2.090338246,6.336991813,-0.719230698,18.49649321,2.695369604,22.78488025,12.15950139,6.389444003,63.84389213,28_1,0.1966466591,
2026/06/11,08:36:49,C:\Users\THP\Desktop\35mm Sleeve Database\28\TH_Template_10_2025 --- 28_2.mnt,1.875569346,5.319878588,-0.7127177331,15.54917244,2.404450464,18.61409243,10.22929385,5.629760726,60.48092296,28_2,0.1966641948,
2026/06/11,08:36:51,C:\Users\THP\Desktop\35mm Sleeve Database\28\TH_Template_10_2025 --- 28_3.mnt,1.8515936,4.980457929,-1.609273685,19.4018951,2.558792609,40.42344845,14.42143717,6.21287646,77.65942931,28_3,0.1966545457,
2026/06/11,08:36:54,C:\Users\THP\Desktop\35mm Sleeve Database\28\TH_Template_10_2025 --- 28_4.mnt,2.094010612,5.254184292,-0.9998913688,16.8803526,2.689455482,22.81741318,11.62616831,6.458675767,64.60509264,28_4,0.1967129637,
