#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:35:44,C:\Users\THP\Desktop\35mm Sleeve Database\19\TH_Template_10_2025 --- 19_1.mnt,11.06495693,37.59330398,-0.3812543448,84.94493308,14.16152983,118.8815816,47.35162909,34.80144921,51.60322661,19_1,0.1966538006,
2026/06/11,08:35:47,C:\Users\THP\Desktop\35mm Sleeve Database\19\TH_Template_10_2025 --- 19_2.mnt,10.65319252,40.43041669,-0.04362753464,83.57264096,13.5522094,119.5057391,43.14222428,30.62244279,50.90335689,19_2,0.1966458051,
2026/06/11,08:35:49,C:\Users\THP\Desktop\35mm Sleeve Database\19\TH_Template_10_2025 --- 19_3.mnt,10.37472752,39.57624438,-0.2685704672,83.63314805,13.40851407,103.4027431,44.05690367,31.40543556,54.68932344,19_3,0.1966645219,
2026/06/11,08:35:52,C:\Users\THP\Desktop\35mm Sleeve Database\19\TH_Template_10_2025 --- 19_4.mnt,10.26445248,29.9262664,-0.3788194568,74.06618987,12.92240797,83.27594805,44.13992347,28.85466598,49.33909952,19_4,0.196661669,
