#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:39:25,C:\Users\THP\Desktop\35mm Sleeve Database\46\TH_Template_10_2025 --- 46_1.mnt,1.866967064,5.352273316,-0.4746685494,14.61951561,2.362183585,18.11929117,9.267242298,5.3516603,54.64831257,46_1,0.1966661755,
2026/06/11,08:39:28,C:\Users\THP\Desktop\35mm Sleeve Database\46\TH_Template_10_2025 --- 46_2.mnt,1.904651801,5.496137632,-0.5057806935,15.1272849,2.431042724,17.33370063,9.631147268,5.45987044,55.82760324,46_2,0.1967157263,
2026/06/11,08:39:30,C:\Users\THP\Desktop\35mm Sleeve Database\46\TH_Template_10_2025 --- 46_3.mnt,1.596603103,4.439474871,-0.710777656,13.93824475,2.063191237,18.64422424,9.498769883,5.075206108,63.55739861,46_3,0.1967214516,
2026/06/11,08:39:33,C:\Users\THP\Desktop\35mm Sleeve Database\46\TH_Template_10_2025 --- 46_4.mnt,1.365282952,3.708099115,-0.5385316911,9.870559264,1.707082762,13.73152895,6.16246015,4.078481963,53.30460222,46_4,0.1966459868,
