#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:34:53,C:\Users\THP\Desktop\35mm Sleeve Database\14\TH_Template_10_2025 --- 14_1.mnt,10.95557297,50.53467857,0.1051062785,94.14308024,14.1844304,136.8026444,43.60840167,33.76899931,57.34822611,14_1,0.1966318129,
2026/06/11,08:34:56,C:\Users\THP\Desktop\35mm Sleeve Database\14\TH_Template_10_2025 --- 14_2.mnt,11.21599088,39.26342016,-0.2093327312,79.69054415,14.06545243,96.15768415,40.42712399,31.23825181,48.50572121,14_2,0.1966540914,
2026/06/11,08:34:58,C:\Users\THP\Desktop\35mm Sleeve Database\14\TH_Template_10_2025 --- 14_3.mnt,10.97271054,38.64548416,-0.3724813482,88.45303698,14.10547106,104.9378179,49.80755282,32.57478671,53.79377192,14_3,0.1966639041,
2026/06/11,08:35:01,C:\Users\THP\Desktop\35mm Sleeve Database\14\TH_Template_10_2025 --- 14_4.mnt,11.10528579,39.61035545,-0.471802276,89.83102988,14.26683975,108.7985699,50.22067443,32.05256505,57.82278167,14_4,0.1966635588,
