#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:37:49,C:\Users\THP\Desktop\35mm Sleeve Database\36\TH_Template_10_2025 --- 36_1.mnt,1.649279643,6.885463218,-0.1901234813,14.85404007,2.144862632,28.1413197,7.968576851,5.288850962,68.20025867,36_1,0.1966493122,
2026/06/11,08:37:51,C:\Users\THP\Desktop\35mm Sleeve Database\36\TH_Template_10_2025 --- 36_2.mnt,1.903395693,5.048438718,-0.6755173475,14.88734789,2.411611482,24.54669662,9.838909176,5.789543753,59.54637389,36_2,0.1966406988,
2026/06/11,08:37:54,C:\Users\THP\Desktop\35mm Sleeve Database\36\TH_Template_10_2025 --- 36_3.mnt,2.148360409,5.380194158,-1.426380766,22.21740295,2.927152491,39.26254295,16.83720879,6.965199199,76.94444723,36_3,0.1966374461,
2026/06/11,08:37:56,C:\Users\THP\Desktop\35mm Sleeve Database\36\TH_Template_10_2025 --- 36_4.mnt,1.856761187,5.109110506,-1.084292756,17.70659354,2.462357946,23.72883443,12.59748303,5.793761426,70.64934156,36_4,0.1966306499,
