#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:34:33,C:\Users\THP\Desktop\35mm Sleeve Database\12\TH_Template_10_2025 --- 12_1.mnt,11.35542565,46.04692819,-0.3035942183,97.39665186,14.40276795,109.5672785,51.34972367,33.66940479,61.55052874,12_1,0.1966559267,
2026/06/11,08:34:35,C:\Users\THP\Desktop\35mm Sleeve Database\12\TH_Template_10_2025 --- 12_2.mnt,9.413961422,39.33854529,-0.09350404524,77.05752685,11.98661726,109.4376132,37.71898156,29.20054618,58.42199498,12_2,0.1966627593,
2026/06/11,08:34:38,C:\Users\THP\Desktop\35mm Sleeve Database\12\TH_Template_10_2025 --- 12_3.mnt,10.47411486,38.22669727,-0.3893917922,89.54994248,13.63391181,109.1529832,51.32324521,30.84922523,59.81428391,12_3,0.1966483128,
2026/06/11,08:34:40,C:\Users\THP\Desktop\35mm Sleeve Database\12\TH_Template_10_2025 --- 12_4.mnt,11.13252313,33.63207721,-0.4286498755,82.04254885,14.00697452,98.34999122,48.41047164,32.3848038,51.58240166,12_4,0.1966722631,
