#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:36:04,C:\Users\THP\Desktop\35mm Sleeve Database\21\TH_Template_10_2025 --- 21_1.mnt,11.34172308,42.65081508,-0.5632623544,98.22846366,14.94124173,134.4024633,55.57764859,35.45890477,64.26200503,21_1,0.1966679019,
2026/06/11,08:36:07,C:\Users\THP\Desktop\35mm Sleeve Database\21\TH_Template_10_2025 --- 21_2.mnt,10.21736211,34.33392548,-0.3898446988,77.59504102,13.11324672,99.1576172,43.26111554,28.90706206,49.91179134,21_2,0.1966670296,
2026/06/11,08:36:10,C:\Users\THP\Desktop\35mm Sleeve Database\21\TH_Template_10_2025 --- 21_3.mnt,12.2711389,47.4675,-0.3979896476,102.569129,15.77178522,116.0805422,55.10162898,36.44102975,59.83419172,21_3,0.1967130364,
2026/06/11,08:36:12,C:\Users\THP\Desktop\35mm Sleeve Database\21\TH_Template_10_2025 --- 21_4.mnt,10.89800637,45.75221972,0.2074507569,83.33483073,14.01654944,134.1723688,37.58261101,32.52040836,46.11079642,21_4,0.1966668842,
