#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:38:20,C:\Users\THP\Desktop\35mm Sleeve Database\39\TH_Template_10_2025 --- 39_1.mnt,1.62054562,4.980647753,-0.668062731,14.47711642,2.06475544,19.55850985,9.496468669,4.949140967,65.6234879,39_1,0.1966613782,
2026/06/11,08:38:23,C:\Users\THP\Desktop\35mm Sleeve Database\39\TH_Template_10_2025 --- 39_2.mnt,2.183930743,6.07979731,-1.043528327,20.30663827,2.879827891,23.66081341,14.22684096,6.755370373,70.7537575,39_2,0.196657762,
2026/06/11,08:38:26,C:\Users\THP\Desktop\35mm Sleeve Database\39\TH_Template_10_2025 --- 39_3.mnt,2.331936767,6.096705799,-1.355199283,23.74510279,3.147755422,27.40246262,17.64839699,7.29217161,77.86350661,39_3,0.1966508205,
2026/06/11,08:38:28,C:\Users\THP\Desktop\35mm Sleeve Database\39\TH_Template_10_2025 --- 39_4.mnt,2.409684953,6.104845527,-1.567360953,23.69443522,3.36519333,44.5263618,17.58958969,7.876430503,77.05134988,39_4,0.1966522197,
