#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:35:24,C:\Users\THP\Desktop\35mm Sleeve Database\17\TH_Template_10_2025 --- 17_1.mnt,10.11056989,33.9422707,-0.3889287781,79.26444573,12.87895407,106.3878337,45.32217503,30.9229127,54.72551404,17_1,0.1966592158,
2026/06/11,08:35:26,C:\Users\THP\Desktop\35mm Sleeve Database\17\TH_Template_10_2025 --- 17_2.mnt,9.939935876,27.03291675,-0.5680806596,72.22255445,12.53822236,87.01723542,45.1896377,27.99423752,52.37086772,17_2,0.1966486944,
2026/06/11,08:35:28,C:\Users\THP\Desktop\35mm Sleeve Database\17\TH_Template_10_2025 --- 17_3.mnt,10.49423072,37.64696267,-0.3634363869,81.21818902,13.40901448,91.02902278,43.57122635,31.15245161,54.37470306,17_3,0.1966562901,
2026/06/11,08:35:31,C:\Users\THP\Desktop\35mm Sleeve Database\17\TH_Template_10_2025 --- 17_4.mnt,10.73029516,40.59756371,-0.243589583,83.54584411,13.69298584,108.3999675,42.94828041,32.53695176,51.84567901,17_4,0.1966662846,
