#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:35:03,C:\Users\THP\Desktop\35mm Sleeve Database\15\TH_Template_10_2025 --- 15_1.mnt,10.8711327,38.48765471,-0.4029273743,84.10856064,13.74050778,110.6228927,45.62090594,31.73927487,57.49057234,15_1,0.1966515837,
2026/06/11,08:35:06,C:\Users\THP\Desktop\35mm Sleeve Database\15\TH_Template_10_2025 --- 15_2.mnt,10.29433022,40.96757569,-0.2233474489,85.18720709,13.32337594,126.7077232,44.2196314,31.56320843,57.20910119,15_2,0.1966418981,
2026/06/11,08:35:08,C:\Users\THP\Desktop\35mm Sleeve Database\15\TH_Template_10_2025 --- 15_3.mnt,10.14515635,29.3178047,-0.5280979587,80.94403784,12.85979769,97.37703847,51.62623314,32.42993515,55.13239655,15_3,0.1966556541,
2026/06/11,08:35:11,C:\Users\THP\Desktop\35mm Sleeve Database\15\TH_Template_10_2025 --- 15_4.mnt,10.25333088,36.13604115,-0.4667642139,82.61083782,13.00189634,104.9997668,46.47479668,31.57776041,54.57454104,15_4,0.1966565445,
