#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:37:17,C:\Users\THP\Desktop\35mm Sleeve Database\32\TH_Template_10_2025 --- 32_1.mnt,1.629188261,4.567322359,-0.5466828728,13.42603877,2.062575738,16.36040164,8.858716415,4.898049803,57.63472232,32_1,0.1966534554,
2026/06/11,08:37:20,C:\Users\THP\Desktop\35mm Sleeve Database\32\TH_Template_10_2025 --- 32_2.mnt,1.969259338,5.260900067,-1.209589502,20.28670139,2.634195644,30.9957005,15.02580132,6.395696811,77.35191629,32_2,0.1966332121,
2026/06/11,08:37:22,C:\Users\THP\Desktop\35mm Sleeve Database\32\TH_Template_10_2025 --- 32_3.mnt,2.184430799,5.664364362,-1.018164596,20.07857053,2.844562633,29.82597226,14.41420617,6.807743521,69.48052824,32_3,0.1966546002,
2026/06/11,08:37:25,C:\Users\THP\Desktop\35mm Sleeve Database\32\TH_Template_10_2025 --- 32_4.mnt,2.209029179,5.569179133,-0.8759268771,16.93278803,2.803551129,20.7780313,11.3636089,6.337152269,60.54177535,32_4,0.1966681381,
