#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:38:42,C:\Users\THP\Desktop\35mm Sleeve Database\41\TH_Template_10_2025 --- 41_1.mnt,1.811229704,5.566095227,-0.4826095645,14.4396479,2.315242151,20.84512973,8.873552672,5.332721433,53.88294508,41_1,0.1966383728,
2026/06/11,08:38:44,C:\Users\THP\Desktop\35mm Sleeve Database\41\TH_Template_10_2025 --- 41_2.mnt,2.010271165,5.942307859,-0.8963211214,18.12542346,2.611808817,23.24066908,12.1831156,6.124174263,68.1393416,41_2,0.1966476404,
2026/06/11,08:38:47,C:\Users\THP\Desktop\35mm Sleeve Database\41\TH_Template_10_2025 --- 41_3.mnt,1.925622636,5.457670217,-0.935279991,18.07152818,2.488472271,23.11570845,12.61385796,5.845216033,69.89070181,41_3,0.1966480038,
2026/06/11,08:38:49,C:\Users\THP\Desktop\35mm Sleeve Database\41\TH_Template_10_2025 --- 41_4.mnt,1.87677235,6.815503905,-0.5187086383,15.92470142,2.419461895,24.81231693,9.109197518,5.688132776,64.70208695,41_4,0.1966496575,
