#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:35:33,C:\Users\THP\Desktop\35mm Sleeve Database\18\TH_Template_10_2025 --- 18_1.mnt,10.67237968,38.14622039,-0.2417206543,79.89291974,13.42854857,84.60638505,41.74669934,29.55887054,47.2876333,18_1,0.1966604878,
2026/06/11,08:35:36,C:\Users\THP\Desktop\35mm Sleeve Database\18\TH_Template_10_2025 --- 18_2.mnt,10.48888766,35.30878276,-0.4433741644,79.55528352,13.42041668,95.6670503,44.24650076,31.27229279,56.50656354,18_2,0.1966640131,
2026/06/11,08:35:39,C:\Users\THP\Desktop\35mm Sleeve Database\18\TH_Template_10_2025 --- 18_3.mnt,11.37357932,39.30137687,-0.3221586041,89.36592516,14.47826838,100.4132117,50.06454829,33.4218665,49.82972377,18_3,0.1967140906,
2026/06/11,08:35:41,C:\Users\THP\Desktop\35mm Sleeve Database\18\TH_Template_10_2025 --- 18_4.mnt,10.39741748,43.21402405,-0.3497731856,91.81352356,13.44704382,139.4806208,48.59949951,32.13050602,58.44898399,18_4,0.196718071,
