#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:40:17,C:\Users\THP\Desktop\35mm Sleeve Database\9\TH_Template_10_2025 --- 9_1.mnt,11.87623814,45.38399861,-0.3066378894,94.97386291,15.0919885,119.8207391,49.5898643,35.00094703,56.71807906,9_1,0.1966542549,
2026/06/11,08:40:20,C:\Users\THP\Desktop\35mm Sleeve Database\9\TH_Template_10_2025 --- 9_2.mnt,10.26004033,31.50631706,-0.4652056138,78.74555991,12.96086484,102.2957707,47.23924284,31.15013366,50.8455284,9_2,0.1966576348,
2026/06/11,08:40:22,C:\Users\THP\Desktop\35mm Sleeve Database\9\TH_Template_10_2025 --- 9_3.mnt,11.20568387,39.3827277,-0.4751477532,86.18415826,14.2658648,102.6671054,46.80143056,33.70680481,57.59641283,9_3,0.196648549,
2026/06/11,08:40:25,C:\Users\THP\Desktop\35mm Sleeve Database\9\TH_Template_10_2025 --- 9_4.mnt,9.891229388,31.86779554,-0.2377123243,74.32068357,12.51683739,86.35231417,42.45288803,28.61786652,47.72075673,9_4,0.1966691012,
