#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:39:57,C:\Users\THP\Desktop\35mm Sleeve Database\52\TH_Template_10_2025 --- 52_1.mnt,1.894100022,4.774058871,-0.8575895258,15.9655597,2.410481615,24.61103127,11.19150082,5.597845851,64.36638664,52_1,0.1967149266,
2026/06/11,08:39:59,C:\Users\THP\Desktop\35mm Sleeve Database\52\TH_Template_10_2025 --- 52_2.mnt,1.832270563,6.704111164,-0.1011715111,14.58117467,2.343000691,23.4395864,7.877063505,5.603876182,54.3702653,52_2,0.1967209063,
2026/06/11,08:40:02,C:\Users\THP\Desktop\35mm Sleeve Database\52\TH_Template_10_2025 --- 52_3.mnt,2.126621963,5.836945513,-1.027018661,20.52535493,2.773574431,23.3994486,14.68840942,6.266362384,71.33757175,52_3,0.1967212153,
2026/06/11,08:40:05,C:\Users\THP\Desktop\35mm Sleeve Database\52\TH_Template_10_2025 --- 52_4.mnt,1.743382546,5.067705724,-1.002188361,16.90760772,2.273655864,21.55905886,11.83990199,5.592828117,72.06545362,52_4,0.1967151993,
