#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:34:23,C:\Users\THP\Desktop\35mm Sleeve Database\11\TH_Template_10_2025 --- 11_1.mnt,10.50796762,38.53635111,-0.3356796991,84.42801418,13.32906373,96.61639675,45.89166308,32.08127722,52.48268067,11_1,0.1966446784,
2026/06/11,08:34:25,C:\Users\THP\Desktop\35mm Sleeve Database\11\TH_Template_10_2025 --- 11_2.mnt,11.50448099,47.73887219,-0.1152845841,95.20951566,14.83921512,127.6252705,47.47064347,34.90329852,54.72405981,11_2,0.1966555451,
2026/06/11,08:34:28,C:\Users\THP\Desktop\35mm Sleeve Database\11\TH_Template_10_2025 --- 11_3.mnt,10.49659932,36.37328233,-0.2372671897,78.40918589,13.30683683,92.12048734,42.03590356,29.05456496,48.40444336,11_3,0.1967129273,
2026/06/11,08:34:30,C:\Users\THP\Desktop\35mm Sleeve Database\11\TH_Template_10_2025 --- 11_4.mnt,11.22789614,36.78072168,-0.3309526115,81.53951106,14.32871515,93.47886528,44.75878938,33.8010885,45.77726397,11_4,0.1966694464,
