#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:37:07,C:\Users\THP\Desktop\35mm Sleeve Database\31\TH_Template_10_2025 --- 31_1.mnt,1.599148837,4.957174954,-0.6842830422,13.29603767,2.03728393,17.95706283,8.338862719,5.004977321,63.85648752,31_1,0.1966214913,
2026/06/11,08:37:09,C:\Users\THP\Desktop\35mm Sleeve Database\31\TH_Template_10_2025 --- 31_2.mnt,1.896145223,9.484747951,-0.03037599199,21.54800925,2.587867047,42.49543662,12.0632613,6.56658346,81.55991681,31_2,0.196627706,
2026/06/11,08:37:12,C:\Users\THP\Desktop\35mm Sleeve Database\31\TH_Template_10_2025 --- 31_3.mnt,2.147506636,5.877621444,-0.9094101909,18.85265731,2.801816319,29.38722414,12.97503586,6.524533838,67.29707485,31_3,0.196631722,
2026/06/11,08:37:14,C:\Users\THP\Desktop\35mm Sleeve Database\31\TH_Template_10_2025 --- 31_4.mnt,1.864105358,5.09864181,-0.6553793754,15.83788962,2.361614654,20.84947619,10.73924781,5.706812719,61.88446821,31_4,0.1966055547,
