#,#,#,66,66,66,66,66,66,66,66,66,69,70,
#,#,#,Ra (Gaussian filter  0.03 in),Rp (Gaussian filter  0.03 in),Rsk (Gaussian filter  0.03 in),Rz (Gaussian filter  0.03 in),Rq (Gaussian filter  0.03 in),Rt (Gaussian filter  0.03 in),Rv (Gaussian filter  0.03 in),Rc (Gaussian filter  0.03 in  ISO 4287 w/o amendment 2),Rmr (Rz/4) (c = Rz/4 µin under the ref  5%  Gaussian filter  0.03 in),Name of the studiable,Length,
#,#,#,µin,µin,<no unit>,µin,µin,µin,µin,µin,%,<no unit>,in,
2026/06/11,08:36:56,C:\Users\THP\Desktop\35mm Sleeve Database\30\TH_Template_10_2025 --- 30_1.mnt,2.099700389,6.963397776,-0.7378125586,19.91968486,2.683515438,31.93499183,12.95628708,6.391103199,70.28841885,30_1,0.1966255618,
2026/06/11,08:36:59,C:\Users\THP\Desktop\35mm Sleeve Database\30\TH_Template_10_2025 --- 30_2.mnt,2.080406249,5.680096119,-0.6796516867,16.86016441,2.647504656,20.80504705,11.18006829,6.226610953,60.2082233,30_2,0.1966723358,
2026/06/11,08:37:02,C:\Users\THP\Desktop\35mm Sleeve Database\30\TH_Template_10_2025 --- 30_3.mnt,1.584250904,4.529347411,-0.7257528741,13.45327468,2.021307068,16.33514946,8.923927268,4.759796194,61.51144244,30_3,0.196672572,
2026/06/11,08:37:04,C:\Users\THP\Desktop\35mm Sleeve Database\30\TH_Template_10_2025 --- 30_4.mnt,1.543557248,4.573496526,-0.5512739953,13.07959043,1.967489708,18.19922818,8.506093904,4.857939165,57.09663544,30_4,0.1967152538,
